日付,🔖性別,年齢,🔖好きな季節,🔖居住タイプ,🔖教育レベル,🔖好みのアクティビティ,未使用,カウント,山までの距離(マイル),ビーチまでの距離(マイル),旅行頻度,年収($),休暇予算($),🔖ペット,🔖環境への懸念
2024-09-01,0,36,summer,rural,bachelor,swimming,,,275,157,7,98265,4409,0,1
2024-09-01,2,69,fall,urban,bachelor,swimming,,,23,174,1,46098,4896,0,0
2024-09-01,2,29,winter,suburban,bachelor,skiing,,,170,178,2,93641,2143,0,0
2024-09-01,2,57,spring,rural,doctorate,skiing,,,59,41,8,112975,3344,0,1
2024-09-01,1,57,summer,urban,high school,hiking,,,112,276,4,101714,828,1,0
2024-09-01,1,64,fall,suburban,doctorate,skiing,,,31,252,8,38023,2123,0,0
2024-09-01,0,60,summer,urban,doctorate,hiking,,,298,48,7,49032,1447,0,1
2024-09-01,0,37,fall,rural,high school,skiing,,,235,97,5,54753,3053,1,0
2024-09-01,0,50,winter,rural,doctorate,hiking,,,8,3,8,69421,2197,1,0
2024-09-01,2,46,spring,suburban,master,sunbathing,,,27,118,3,47824,706,1,0
2024-09-01,1,33,fall,urban,master,sunbathing,,,283,110,8,94807,2742,0,1
2024-09-01,0,31,winter,rural,master,skiing,,,30,212,7,52569,2615,1,0
2024-09-01,0,24,winter,urban,high school,hiking,,,31,289,7,90793,662,1,0
2024-09-01,2,23,summer,suburban,doctorate,hiking,,,94,257,7,42693,3351,1,0
2024-09-01,1,38,spring,suburban,bachelor,sunbathing,,,147,248,2,21179,2372,0,1
2024-09-01,0,53,winter,suburban,high school,hiking,,,26,274,1,47148,1893,1,0
2024-09-01,0,39,summer,urban,bachelor,hiking,,,194,240,2,68632,1207,1,0
2024-09-01,0,57,summer,urban,bachelor,sunbathing,,,141,225,9,77580,2300,1,0
2024-09-01,0,36,spring,suburban,bachelor,sunbathing,,,29,235,4,98736,4485,1,0
2024-09-01,1,42,spring,rural,master,hiking,,,258,238,5,111006,961,0,0
2024-09-01,1,20,summer,urban,doctorate,skiing,,,249,79,3,24782,3536,1,0
2024-09-01,0,53,spring,suburban,bachelor,hiking,,,286,68,1,60210,2731,0,1
2024-09-01,2,62,spring,suburban,bachelor,sunbathing,,,177,57,3,44801,4531,1,1
2024-09-01,0,51,spring,suburban,bachelor,hiking,,,110,269,5,77064,4205,0,0
2024-09-01,2,28,winter,rural,master,sunbathing,,,178,240,1,113802,4926,0,0
2024-09-01,0,65,summer,suburban,bachelor,swimming,,,223,81,6,20934,4753,1,0
2024-09-01,0,59,spring,urban,master,sunbathing,,,37,189,6,69534,2838,1,0
2024-09-01,2,64,spring,rural,bachelor,skiing,,,75,165,0,81631,2078,0,0
2024-09-01,0,44,summer,urban,high school,skiing,,,251,77,0,104786,1439,1,1
2024-09-01,1,59,winter,suburban,high school,hiking,,,117,54,1,77536,4366,1,0
2024-09-01,2,19,winter,suburban,doctorate,swimming,,,67,28,1,53393,4508,1,0
2024-09-01,1,23,spring,suburban,doctorate,skiing,,,285,12,3,32501,4413,1,0
2024-09-01,2,63,summer,suburban,doctorate,swimming,,,78,209,4,93125,3173,0,1
2024-09-01,1,19,summer,rural,master,sunbathing,,,1,115,8,79631,3135,1,0
2024-09-01,0,59,spring,suburban,bachelor,hiking,,,150,212,2,100476,908,0,1
2024-09-01,0,34,summer,rural,high school,swimming,,,34,190,9,110049,3960,0,0
2024-09-01,2,57,fall,urban,bachelor,sunbathing,,,293,155,9,107401,2459,1,1
2024-09-01,1,65,winter,urban,bachelor,sunbathing,,,201,91,0,109821,2922,1,0
2024-09-01,0,31,fall,rural,doctorate,swimming,,,12,43,1,62147,4432,0,0
2024-09-01,1,27,winter,suburban,high school,skiing,,,163,50,5,87251,4698,1,0
2024-09-01,1,62,summer,rural,master,hiking,,,165,165,8,21805,3745,0,0
2024-09-01,2,50,winter,rural,high school,hiking,,,110,136,4,70960,3503,0,1
2024-09-01,0,59,fall,suburban,bachelor,swimming,,,248,77,3,95892,3526,0,0
2024-09-01,2,29,winter,suburban,bachelor,swimming,,,156,123,1,109226,3153,1,1
2024-09-01,2,49,spring,rural,doctorate,swimming,,,237,85,3,26983,805,0,1
2024-09-01,0,66,summer,urban,bachelor,sunbathing,,,153,190,1,47694,3486,1,1
2024-09-01,1,41,summer,urban,high school,swimming,,,10,120,5,46565,3878,0,0
2024-09-01,2,31,spring,urban,high school,swimming,,,40,169,4,70644,1280,0,1
2024-09-01,0,22,summer,urban,high school,swimming,,,140,61,4,104688,2523,1,1
2024-09-01,1,68,winter,rural,high school,swimming,,,284,168,0,35270,3352,1,1
2024-09-01,1,22,winter,suburban,master,hiking,,,99,221,9,36842,1535,0,0
2024-09-01,1,64,winter,suburban,bachelor,sunbathing,,,194,23,0,103972,3870,0,1
2024-09-01,2,49,fall,suburban,doctorate,skiing,,,41,246,8,65662,3795,1,0
2024-09-01,2,62,spring,rural,master,sunbathing,,,57,191,7,87663,686,1,1
2024-09-01,0,66,fall,rural,high school,skiing,,,299,259,7,48317,3256,1,0
2024-09-01,1,50,winter,rural,doctorate,skiing,,,209,143,9,70072,4784,0,0
2024-09-01,1,63,summer,urban,high school,hiking,,,84,134,9,105195,1546,1,1
2024-09-01,0,21,summer,urban,doctorate,skiing,,,209,140,5,87138,2822,0,1
2024-09-01,1,47,winter,rural,doctorate,sunbathing,,,251,129,6,42352,1430,1,0
2024-09-01,1,58,winter,suburban,high school,hiking,,,148,252,7,99028,4037,1,0
2024-09-01,0,34,winter,urban,high school,sunbathing,,,17,70,2,66915,3040,1,1
2024-09-01,0,20,summer,suburban,bachelor,swimming,,,247,39,4,88677,2042,1,1
2024-09-01,2,30,winter,urban,bachelor,sunbathing,,,213,203,9,112783,609,1,1
2024-09-01,2,61,winter,suburban,master,swimming,,,109,206,8,51502,899,1,0
2024-09-01,2,65,spring,urban,high school,swimming,,,51,275,2,101311,1816,1,1
2024-09-01,0,53,spring,suburban,high school,sunbathing,,,114,195,3,26071,2698,1,0
2024-09-01,2,35,winter,urban,doctorate,hiking,,,179,164,2,87451,2941,0,1
2024-09-01,1,40,winter,suburban,master,sunbathing,,,26,211,3,100621,4999,0,0
2024-09-01,2,52,spring,urban,master,sunbathing,,,163,66,5,40591,2306,1,1
2024-09-01,2,66,fall,suburban,high school,swimming,,,162,259,3,54498,2214,0,0
2024-09-01,2,50,fall,rural,doctorate,skiing,,,180,77,6,56760,729,1,1
2024-09-01,0,68,fall,rural,master,swimming,,,212,234,4,57530,531,0,0
2024-09-01,1,53,spring,suburban,bachelor,swimming,,,132,212,9,96250,2050,1,1
2024-09-01,0,34,spring,urban,bachelor,sunbathing,,,213,103,9,70262,3869,0,0
2024-09-01,1,56,winter,suburban,high school,skiing,,,295,192,8,21288,2789,1,0
2024-09-01,2,51,winter,suburban,high school,swimming,,,50,178,8,35114,2437,1,0
2024-09-01,2,29,summer,suburban,high school,sunbathing,,,66,239,1,107846,4931,1,0
2024-09-01,1,22,summer,urban,doctorate,sunbathing,,,206,71,6,51622,3209,1,0
2024-09-01,0,65,winter,suburban,high school,swimming,,,38,198,8,28460,3451,1,1
2024-09-01,0,57,winter,urban,master,swimming,,,26,145,5,60902,954,0,1
2024-09-01,2,44,winter,rural,master,sunbathing,,,246,261,1,47950,1900,1,0
2024-09-01,1,57,spring,suburban,bachelor,hiking,,,165,149,9,87148,3436,1,0
2024-09-01,1,30,fall,urban,doctorate,sunbathing,,,73,140,0,93844,4988,0,1
2024-09-01,1,43,winter,urban,bachelor,skiing,,,201,182,3,79267,862,1,0
2024-09-01,1,31,winter,rural,bachelor,skiing,,,108,218,7,34122,1633,0,0
2024-09-01,2,49,winter,urban,bachelor,hiking,,,196,174,4,46648,3878,1,1
2024-09-01,0,28,spring,rural,doctorate,skiing,,,299,164,0,61171,3439,1,0
2024-09-01,2,55,winter,urban,bachelor,skiing,,,201,69,6,89960,4632,0,1
2024-09-01,1,33,fall,suburban,doctorate,swimming,,,203,294,1,58628,1435,1,1
2024-09-01,0,39,summer,suburban,bachelor,hiking,,,288,134,9,56136,3675,1,0
2024-09-01,2,64,winter,suburban,bachelor,hiking,,,50,73,0,104587,4401,1,0
2024-09-01,1,33,fall,suburban,master,skiing,,,21,21,0,56690,2508,1,0
2024-09-01,2,30,summer,rural,bachelor,skiing,,,110,296,0,76203,2492,0,0
2024-09-01,1,29,spring,urban,master,swimming,,,3,216,4,33308,3685,0,1
2024-09-01,2,35,summer,suburban,doctorate,sunbathing,,,40,188,0,117954,4598,1,0
2024-09-01,2,46,fall,urban,master,swimming,,,274,270,9,62819,3428,1,1
2024-09-01,2,35,summer,urban,bachelor,sunbathing,,,113,299,6,20055,1182,0,1
2024-09-01,1,63,spring,rural,master,hiking,,,66,123,0,49138,923,1,0
2024-09-01,0,19,winter,urban,high school,sunbathing,,,248,37,7,23889,4015,0,1
2024-09-01,0,19,winter,urban,doctorate,sunbathing,,,264,207,7,101963,2933,1,0
2024-09-01,1,20,fall,suburban,bachelor,hiking,,,139,248,4,76685,1058,0,0
2024-09-01,0,46,spring,urban,high school,sunbathing,,,154,263,0,87077,2261,1,0
2024-09-01,0,25,fall,rural,high school,hiking,,,148,286,9,61458,1082,0,1
2024-09-01,2,28,spring,urban,doctorate,swimming,,,89,214,1,50047,4907,0,1
2024-09-01,2,29,fall,urban,master,swimming,,,67,202,1,117017,4842,0,0
2024-09-01,1,49,fall,suburban,bachelor,sunbathing,,,97,68,3,63128,2082,1,0
2024-09-01,1,21,spring,rural,doctorate,hiking,,,90,10,4,58447,2480,0,0
2024-09-01,2,26,winter,urban,high school,hiking,,,72,146,3,43897,1340,1,0
2024-09-01,1,41,winter,urban,doctorate,skiing,,,289,275,0,52773,2748,1,0
2024-09-01,1,66,spring,suburban,bachelor,skiing,,,41,269,6,32324,1802,1,0
2024-09-01,0,33,spring,urban,doctorate,skiing,,,134,248,7,52234,3559,0,1
2024-09-01,1,34,summer,urban,bachelor,hiking,,,187,131,8,57089,895,1,1
2024-09-01,1,64,spring,suburban,high school,swimming,,,16,151,4,26514,2810,0,0
2024-09-01,2,69,summer,rural,high school,sunbathing,,,107,234,4,73396,1539,0,1
2024-09-01,1,39,spring,rural,doctorate,hiking,,,159,219,7,86793,1354,0,1
2024-09-01,2,24,spring,urban,bachelor,swimming,,,238,270,9,57722,4768,1,0
2024-09-01,1,27,spring,suburban,bachelor,swimming,,,112,5,3,52307,4762,0,0
2024-09-01,0,46,spring,suburban,bachelor,skiing,,,251,28,0,58866,781,1,1
2024-09-01,2,53,spring,urban,doctorate,skiing,,,208,93,1,36474,4026,1,1
2024-09-01,1,41,summer,suburban,master,hiking,,,194,56,4,95480,3246,0,0
2024-09-01,1,63,spring,urban,master,sunbathing,,,51,105,1,108242,2084,0,1
2024-09-01,0,31,summer,rural,bachelor,swimming,,,259,64,5,73396,2555,1,1
2024-09-01,1,31,summer,rural,bachelor,skiing,,,259,20,3,65695,886,0,1
2024-09-01,0,42,summer,suburban,high school,hiking,,,187,131,8,112058,2250,0,0
2024-09-01,2,63,winter,urban,high school,sunbathing,,,70,231,7,95779,2914,0,1
2024-09-01,2,39,spring,rural,master,skiing,,,59,178,9,27019,1611,0,0
2024-09-01,1,69,winter,suburban,master,sunbathing,,,43,176,1,81743,1133,1,1
2024-09-01,2,67,spring,suburban,high school,skiing,,,3,91,5,26105,2247,1,0
2024-09-01,0,64,summer,urban,master,swimming,,,8,22,8,51683,1678,1,1
2024-09-01,0,40,spring,urban,bachelor,skiing,,,80,180,7,59140,2154,0,0
2024-09-01,1,49,spring,rural,doctorate,swimming,,,267,218,5,91728,571,0,1
2024-09-01,0,43,summer,suburban,master,sunbathing,,,7,54,0,52874,4345,1,0
2024-09-01,0,68,spring,rural,master,skiing,,,6,148,7,106211,2796,0,0
2024-09-01,0,44,winter,rural,bachelor,skiing,,,45,72,0,113489,3628,1,0
2024-09-01,1,62,winter,suburban,doctorate,sunbathing,,,78,7,8,39350,2852,1,1
2024-09-01,2,29,spring,rural,bachelor,hiking,,,268,168,8,64215,2387,0,1
2024-09-01,0,36,summer,urban,bachelor,swimming,,,11,98,0,118663,768,1,1
2024-09-01,2,36,fall,urban,high school,hiking,,,2,285,8,109751,4085,1,0
2024-09-01,2,69,fall,suburban,bachelor,sunbathing,,,24,139,1,80444,1197,0,1
2024-09-01,1,51,spring,suburban,high school,sunbathing,,,292,60,7,104369,1754,1,1
2024-09-01,1,49,winter,urban,master,swimming,,,13,109,8,37179,3361,0,1
2024-09-01,2,46,spring,suburban,master,sunbathing,,,14,30,6,83144,3295,1,0
2024-09-01,1,38,summer,rural,doctorate,swimming,,,211,129,2,50526,1990,1,0
2024-09-01,2,52,winter,rural,master,hiking,,,117,264,1,114892,1056,0,1
2024-09-01,0,59,spring,suburban,bachelor,swimming,,,50,217,1,46384,2204,0,1
2024-09-01,2,22,winter,suburban,master,skiing,,,121,52,3,70175,2600,0,1
2024-09-01,2,29,fall,rural,high school,swimming,,,30,161,4,76926,2547,1,0
2024-09-01,0,24,winter,rural,master,hiking,,,263,208,6,81840,1062,1,1
2024-09-01,1,58,spring,rural,master,skiing,,,69,12,8,63862,4489,0,1
2024-09-01,2,19,spring,suburban,high school,hiking,,,27,57,8,43433,3976,0,1
2024-09-01,1,42,winter,urban,high school,sunbathing,,,253,91,8,31717,4462,1,0
2024-09-01,0,27,summer,suburban,high school,skiing,,,258,159,9,83898,2961,1,0
2024-09-01,2,55,spring,suburban,high school,sunbathing,,,78,80,7,96618,2289,1,0
2024-09-01,2,61,spring,urban,high school,swimming,,,202,264,8,107443,1972,0,0
2024-09-01,2,23,winter,suburban,master,swimming,,,145,10,7,87885,4088,1,1
2024-09-01,2,44,winter,rural,bachelor,swimming,,,110,181,1,41060,3398,0,0
2024-09-01,1,52,fall,suburban,bachelor,swimming,,,232,247,1,111807,2259,0,0
2024-09-01,1,27,fall,suburban,doctorate,hiking,,,60,14,7,63076,1687,1,1
2024-09-01,0,26,summer,suburban,doctorate,skiing,,,294,59,1,83421,2321,0,1
2024-09-01,1,37,summer,urban,doctorate,hiking,,,125,276,2,57589,3047,1,1
2024-09-01,2,54,summer,suburban,bachelor,hiking,,,243,243,6,30688,4886,1,1
2024-09-01,0,52,summer,suburban,high school,swimming,,,25,96,3,39325,4658,0,0
2024-09-01,2,54,fall,rural,master,hiking,,,231,291,8,52147,1969,0,0
2024-09-01,2,57,spring,suburban,high school,skiing,,,30,7,9,85870,4244,0,0
2024-09-01,0,25,fall,suburban,bachelor,hiking,,,87,38,9,47978,2084,1,0
2024-09-01,2,63,spring,urban,doctorate,skiing,,,179,155,7,51263,2183,1,0
2024-09-01,2,48,spring,urban,doctorate,swimming,,,293,107,4,48598,777,0,0
2024-09-01,0,66,winter,suburban,doctorate,hiking,,,232,123,3,106747,1625,0,1
2024-09-01,1,60,winter,urban,master,hiking,,,251,135,1,61104,607,1,0
2024-09-01,0,33,spring,rural,bachelor,swimming,,,86,15,9,29889,4960,0,0
2024-09-01,0,45,summer,urban,master,swimming,,,15,145,1,39387,3945,1,0
2024-09-01,0,23,summer,rural,doctorate,swimming,,,134,29,3,55515,2259,1,1
2024-09-01,1,49,spring,rural,master,sunbathing,,,86,265,3,70903,1502,0,1
2024-09-01,0,45,winter,rural,bachelor,swimming,,,132,240,4,30433,1022,1,0
2024-09-01,1,28,winter,rural,high school,swimming,,,129,292,1,44507,2193,1,0
2024-09-01,2,59,spring,rural,doctorate,sunbathing,,,292,178,4,67194,2119,0,1
2024-09-01,0,40,winter,rural,high school,skiing,,,144,215,1,100767,3712,0,1
2024-09-01,2,47,winter,urban,bachelor,skiing,,,295,105,1,89896,4893,1,0
2024-09-01,2,26,winter,rural,bachelor,sunbathing,,,210,42,2,109651,1325,1,1
2024-09-01,1,45,winter,urban,master,swimming,,,5,29,1,59250,2136,0,1
2024-09-01,2,41,spring,rural,bachelor,hiking,,,202,77,2,54979,3951,0,0
2024-09-01,2,45,spring,urban,master,skiing,,,42,189,8,100246,1219,0,1
2024-09-01,0,41,spring,urban,master,hiking,,,183,272,9,96252,948,1,1
2024-09-01,2,32,summer,urban,master,swimming,,,216,126,1,26666,2531,0,1
2024-09-01,0,56,winter,rural,master,sunbathing,,,129,156,8,119359,4216,1,1
2024-09-01,2,67,winter,rural,bachelor,skiing,,,60,49,6,114938,4777,1,1
2024-09-01,1,50,fall,urban,high school,sunbathing,,,47,213,0,50387,3233,0,1
2024-09-01,2,64,fall,rural,bachelor,swimming,,,2,218,0,76444,976,1,1
2024-09-01,1,51,fall,rural,bachelor,skiing,,,132,142,1,48454,1024,1,0
2024-09-01,0,39,summer,rural,high school,skiing,,,127,104,0,81911,2672,1,1
2024-09-01,0,46,winter,suburban,high school,hiking,,,55,264,8,88442,3084,0,1
2024-09-01,2,51,spring,suburban,high school,sunbathing,,,208,280,7,61023,3370,0,0
2024-09-01,2,59,summer,suburban,master,hiking,,,130,61,8,117562,1403,0,1
2024-09-01,0,69,fall,suburban,master,hiking,,,143,250,2,32199,4333,1,0
2024-09-01,0,64,winter,suburban,high school,hiking,,,131,36,3,48011,3727,0,0
2024-09-01,0,27,winter,urban,master,skiing,,,218,203,5,74101,2758,1,1
2024-09-01,1,68,spring,rural,master,swimming,,,105,101,2,50842,1625,0,1
2024-09-01,2,62,winter,rural,bachelor,swimming,,,70,250,7,26064,2380,0,0
2024-09-01,0,47,spring,rural,high school,sunbathing,,,34,66,7,98569,2097,0,1
2024-09-01,0,28,summer,urban,high school,swimming,,,34,255,6,119706,4524,1,1
2024-09-01,2,51,spring,urban,master,swimming,,,29,87,2,56986,1355,1,0
2024-09-01,2,38,summer,suburban,doctorate,swimming,,,76,254,9,84687,1075,0,1
2024-09-01,1,30,summer,rural,master,hiking,,,255,47,9,116237,3497,1,0
2024-09-01,0,42,winter,suburban,doctorate,skiing,,,140,195,5,28053,1761,1,0
2024-09-01,2,38,spring,suburban,high school,skiing,,,134,144,3,97504,2729,1,1
2024-09-01,1,18,winter,rural,high school,skiing,,,39,133,7,59028,2156,1,0
2024-09-01,0,22,winter,rural,high school,swimming,,,181,103,9,25409,771,0,1
2024-09-01,1,39,winter,urban,high school,sunbathing,,,11,142,5,57632,2665,0,0
2024-09-01,2,24,winter,urban,high school,hiking,,,144,215,6,53321,1643,0,1
2024-09-01,1,30,summer,suburban,high school,hiking,,,111,3,6,27995,2475,0,1
2024-09-01,0,62,winter,rural,bachelor,swimming,,,208,44,7,24066,1654,0,1
2024-09-01,2,69,winter,suburban,bachelor,skiing,,,188,236,6,25468,4386,0,0
2024-09-01,0,40,winter,rural,high school,hiking,,,185,216,2,85681,4555,0,0
2024-09-01,1,38,summer,rural,master,skiing,,,178,13,8,115429,3107,1,1
2024-09-01,1,23,fall,rural,master,swimming,,,150,144,5,89850,1485,0,0
2024-09-01,1,37,fall,rural,doctorate,hiking,,,78,9,3,107206,741,0,1
2024-09-01,2,29,fall,suburban,high school,sunbathing,,,89,21,3,45460,1696,0,0
2024-09-01,1,57,summer,suburban,bachelor,sunbathing,,,256,147,4,43186,694,0,1
2024-09-01,2,26,spring,suburban,bachelor,hiking,,,144,159,4,47301,4820,1,1
2024-09-01,1,67,fall,suburban,master,swimming,,,291,121,9,44962,3706,0,0
2024-09-01,1,45,spring,rural,master,sunbathing,,,13,221,2,27028,4252,0,1
2024-09-01,2,28,summer,suburban,high school,swimming,,,189,61,2,82066,4254,0,0
2024-09-01,2,69,summer,suburban,master,skiing,,,79,119,2,54405,1951,0,0
2024-09-01,2,49,fall,urban,master,sunbathing,,,230,112,1,32563,3160,0,1
2024-09-01,0,28,spring,urban,master,swimming,,,151,166,1,66200,1399,0,1
2024-09-01,1,41,fall,suburban,high school,swimming,,,107,228,7,116321,2832,0,1
2024-09-01,0,32,summer,suburban,doctorate,skiing,,,133,124,5,46392,1471,0,1
2024-09-01,1,58,winter,rural,high school,skiing,,,32,140,0,38665,3343,0,0
2024-09-01,1,52,winter,urban,doctorate,sunbathing,,,48,41,6,20052,2313,0,0
2024-09-01,1,34,summer,urban,high school,skiing,,,170,106,8,26348,4835,1,1
2024-09-01,1,42,fall,rural,doctorate,sunbathing,,,100,74,6,42411,4495,0,1
2024-09-01,0,66,summer,rural,bachelor,swimming,,,220,13,0,27748,984,0,0
2024-09-01,1,52,summer,suburban,bachelor,sunbathing,,,297,154,3,88491,1126,1,0
2024-09-01,0,36,fall,suburban,master,skiing,,,178,219,6,85489,3060,0,0
2024-09-01,2,58,spring,urban,bachelor,skiing,,,32,200,9,27234,4200,1,0
2024-09-01,0,48,summer,urban,bachelor,sunbathing,,,116,226,0,104277,3026,1,0
2024-09-01,1,34,winter,rural,master,skiing,,,239,188,9,50595,3914,1,0
2024-09-01,0,67,fall,urban,master,hiking,,,21,30,6,104202,968,1,0
2024-09-01,0,40,summer,urban,doctorate,skiing,,,28,268,0,90674,1119,1,0
2024-09-01,2,64,fall,urban,high school,hiking,,,259,220,2,41332,2096,0,0
2024-09-01,2,18,winter,urban,bachelor,swimming,,,80,103,8,97784,2930,1,0
2024-09-01,2,27,fall,rural,high school,swimming,,,234,142,2,118882,4654,1,1
2024-09-01,1,25,fall,urban,doctorate,sunbathing,,,208,116,9,104870,2566,1,0
2024-09-01,0,59,fall,urban,high school,skiing,,,123,274,9,49832,4257,0,1
2024-09-01,0,43,winter,suburban,doctorate,sunbathing,,,78,91,1,114979,1547,1,1
2024-09-01,2,51,summer,urban,bachelor,hiking,,,57,131,3,67286,1259,0,1
2024-09-01,1,36,spring,suburban,high school,hiking,,,112,267,5,58138,2287,1,0
2024-09-01,1,31,summer,rural,master,skiing,,,253,260,2,99894,717,0,0
2024-09-01,1,25,winter,urban,master,swimming,,,271,275,2,23843,1324,0,1
2024-09-01,2,68,winter,urban,bachelor,skiing,,,282,264,1,115752,4907,0,0
2024-09-01,1,18,spring,rural,high school,skiing,,,75,190,0,95817,1848,0,1
2024-09-01,1,65,winter,rural,bachelor,sunbathing,,,185,144,9,98745,4303,1,1
2024-09-01,1,42,fall,rural,bachelor,skiing,,,35,50,6,30260,4239,0,1
2024-09-01,2,41,spring,suburban,doctorate,sunbathing,,,177,236,4,117391,1257,0,0
2024-09-01,2,64,summer,suburban,bachelor,sunbathing,,,237,131,7,95130,4463,1,1
2024-09-01,0,37,summer,rural,bachelor,skiing,,,10,67,8,60585,1560,0,1
2024-09-01,0,47,fall,rural,high school,swimming,,,121,18,2,54313,3520,0,0
2024-09-01,0,22,spring,rural,bachelor,hiking,,,222,159,5,51933,1285,1,0
2024-09-01,2,20,fall,suburban,doctorate,swimming,,,163,142,8,107744,4540,1,0
2024-09-01,0,49,spring,urban,master,sunbathing,,,6,281,1,115331,1331,0,1
2024-09-01,1,34,summer,urban,high school,sunbathing,,,208,19,8,97154,3647,1,1
2024-09-01,2,59,winter,urban,doctorate,sunbathing,,,90,261,7,30732,2928,0,1
2024-09-01,2,22,fall,suburban,doctorate,skiing,,,81,133,0,22962,3909,0,1
2024-09-01,0,28,fall,suburban,high school,sunbathing,,,255,193,2,94697,3043,1,1
2024-09-01,1,55,fall,rural,bachelor,skiing,,,117,95,5,95818,3795,1,1
2024-09-01,1,21,fall,suburban,doctorate,hiking,,,89,137,4,94631,1385,0,0
2024-09-01,2,56,winter,urban,doctorate,swimming,,,129,287,6,23763,1770,1,1
2024-09-01,2,36,summer,rural,master,swimming,,,288,270,1,78086,1070,1,1
2024-09-01,0,56,fall,urban,bachelor,swimming,,,298,7,8,49003,2507,1,0
2024-09-01,1,63,summer,suburban,high school,swimming,,,262,236,2,110677,4950,1,1
2024-09-01,2,66,winter,rural,bachelor,swimming,,,123,123,8,48535,2529,0,1
2024-09-01,1,40,fall,rural,bachelor,sunbathing,,,136,167,7,101630,1600,1,1
2024-09-01,2,34,summer,urban,doctorate,hiking,,,297,25,4,89788,2950,0,0
2024-09-01,0,30,fall,urban,bachelor,sunbathing,,,209,21,8,58983,2199,1,1
2024-09-01,2,44,winter,suburban,bachelor,hiking,,,103,232,6,54841,2410,0,1
2024-09-01,2,18,winter,urban,doctorate,sunbathing,,,295,189,3,47055,2927,0,1
2024-09-01,2,19,spring,suburban,master,swimming,,,132,134,7,57475,818,0,0
2024-09-01,0,35,fall,suburban,doctorate,hiking,,,79,93,7,51811,1520,1,0
2024-09-01,0,53,summer,rural,bachelor,sunbathing,,,240,47,3,88209,3132,1,0
2024-09-01,0,62,winter,rural,high school,skiing,,,206,279,8,67243,3054,1,0
2024-09-01,2,50,spring,rural,doctorate,hiking,,,232,299,4,100305,1461,0,1
2024-09-01,2,53,summer,rural,high school,hiking,,,211,25,0,20202,1383,0,1
2024-09-01,1,19,summer,rural,bachelor,hiking,,,203,116,3,89597,2204,1,0
2024-09-01,0,21,winter,urban,bachelor,skiing,,,191,123,8,52820,1895,0,0
2024-09-01,0,33,fall,urban,doctorate,skiing,,,182,104,0,34169,1469,1,0
2024-09-01,2,21,summer,suburban,master,sunbathing,,,102,49,6,53969,1047,0,0
2024-09-01,0,26,summer,rural,bachelor,skiing,,,57,245,7,83005,2322,0,1
2024-09-01,1,66,summer,suburban,doctorate,hiking,,,90,22,7,110871,2163,0,0
2024-09-01,0,38,spring,urban,master,swimming,,,275,235,9,23552,1765,0,1
2024-09-01,0,40,spring,suburban,bachelor,sunbathing,,,203,81,4,78348,2499,0,0
2024-09-01,0,69,fall,urban,high school,swimming,,,60,76,2,104382,1568,1,1
2024-09-01,1,19,summer,urban,bachelor,skiing,,,287,239,5,63777,3400,1,0
2024-09-01,1,20,spring,rural,high school,swimming,,,103,206,1,100462,684,0,1
2024-09-01,0,40,winter,suburban,master,hiking,,,52,8,8,113393,4105,0,1
2024-09-01,1,43,fall,urban,doctorate,swimming,,,156,285,1,114023,3100,1,0
2024-09-01,2,64,summer,suburban,master,sunbathing,,,204,270,7,20962,1067,0,1
2024-09-01,0,24,fall,rural,high school,sunbathing,,,247,279,0,43906,2918,0,0
2024-09-01,1,53,spring,rural,bachelor,hiking,,,39,114,6,81600,3300,1,1
2024-09-01,1,61,fall,rural,bachelor,swimming,,,31,141,0,48950,2396,1,0
2024-09-01,1,50,summer,suburban,high school,hiking,,,100,96,4,36484,2856,1,0
2024-09-01,2,66,winter,rural,master,sunbathing,,,21,252,4,72990,4684,1,0
2024-09-01,1,53,winter,suburban,high school,hiking,,,161,5,9,91852,4550,1,1
2024-09-01,2,21,spring,suburban,high school,skiing,,,161,8,7,109196,805,1,0
2024-09-01,2,40,spring,urban,high school,sunbathing,,,254,151,0,87362,4204,1,0
2024-09-01,1,42,winter,urban,master,sunbathing,,,270,237,7,35719,4342,0,1
2024-09-01,2,58,fall,urban,high school,sunbathing,,,115,186,0,54164,2739,1,0
2024-09-01,1,43,spring,urban,high school,skiing,,,134,182,3,56544,784,0,0
2024-09-01,1,45,summer,rural,master,swimming,,,210,243,4,56738,1142,1,1
2024-09-01,1,45,summer,rural,master,hiking,,,18,18,4,66089,4494,0,0
2024-09-01,0,38,fall,suburban,bachelor,sunbathing,,,238,99,5,98045,3441,1,0
2024-09-01,2,27,fall,urban,master,swimming,,,78,219,4,111769,513,0,1
2024-09-01,2,44,winter,suburban,master,skiing,,,51,185,8,99993,4588,0,1
2024-09-01,1,68,summer,rural,bachelor,swimming,,,283,42,3,63291,2471,0,0
2024-09-01,2,68,winter,rural,high school,skiing,,,232,247,1,80495,577,1,1
2024-09-01,1,32,fall,rural,high school,swimming,,,82,51,3,27683,662,1,1
2024-09-01,2,34,fall,suburban,master,sunbathing,,,176,35,2,36500,4001,1,1
2024-09-01,2,56,winter,urban,bachelor,hiking,,,286,231,7,41359,3850,0,1
2024-09-01,1,52,spring,rural,high school,swimming,,,212,169,1,83340,1122,0,1
2024-09-01,1,22,summer,urban,high school,sunbathing,,,15,53,8,96995,3577,1,1
